Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,CMA060096TTKCP.XANH,"Bao PP-In, trắng tẩy, K60x96PB, cắt thẳng 101cm (cũ 100cm), đáy 2 lần/2 đường C6, TL: 130g, MK: ĐƯỜNG TINH LUYỆN CAO CẤP (1+0, màu xanh da trời).",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,THAINKCP060100TT.XANH,"Cuộn PP-IN, trắng tẩy, K60.0cm(+/-0.5), TL: 128.7gr/101.0cm (cũ 129g/100cm), MK: ĐƯỜNG TINH LUYỆN CAO CẤP (1+0, màu xanh da trời).",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,COB060096G180TTKCP.XANH,"[Cột bao] Bao PP lồng PE, K60x96PB, TL: 180g/bộ, MK: ĐƯỜNG TINH LUYỆN CAO CẤP (1+0, xanh da trời). [Cột bao: 1 tép 50 cái gấp đôi, 1 xấp gồm 2 tép (100 cái) trở đầu, buột dây chữ thập]",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,LOB060096TTKCP.XANH,"Bao PP-In + lồng PE, trắng tẩy, K60x96PB, TL: PP-130g + LDPE-K62x97LLx50g = 180g/bộ, MK: ĐƯỜNG TINH LUYỆN CAO CẤP (1+0, xanh da trời).",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,LDPE0002,"Cuộn LDPE, trắng trong, K62.0cm, TL: 50.0g/m. [Độ dày 45-mic]",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,THACAKCP600102102128TRTA,"Cuộn PP, trắng tẩy, K60.0cm(+/-0.5), MĐ: 10.25x10.25, TL: 126.5g/m(cũ 128g/m). [2500(m/cuộn]",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,0119114001001000,"Bao TP-PP trắng tẩy + lồng PE, K60x96PB, TL: PP130g + LDPE62x97LLx50g = 180g/bộ, MK: ĐƯỜNG TINH LUYỆN CAO CẤP (1+0, xanh da trời). [Ép kiện: 200cái/kiện, bắn đai 3x2, dây đai xanh dương, có tem kiện]/TPH060096G180TTKCP.XANH",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2306-0001,MP23/06-001,CÔNG TY TNHH CÔNG NGHIỆP KCP VIỆT NAM,SOI-KC14-1,"Sợi PP, trắng tẩy, 1130D, 2.35mm. [Không sủi]",KCP,Version 2,TPH,45087,0.18,100000,18000
SO2305-0034,MP23/06-002,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH050085G075CAMSGX.B01,"Bao PP-TP, màu cam + tráng hấp, K50.0x85.0PB, TL: 75.0g/cái, MK: SGX-B01. [Cột 100 cái/xấp trở đầu 50:50]","Sài Gòn Xanh, HĐ 004. 2023. Giao hàng từng đợt T06/2023",Version 1,TPH,45079,0.075,300000,22500
