Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Mã vật tư,Tên vật tư,Đvt 1,Số lượng (1),HSQĐ,Đvt 2,Số lượng (2),Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2403-0018,3/6/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2402-0007 - SANPOLY
SO2402-0016 - HALSTON
SO2402-0017 - HALSTON
SO2402-0021 - SUJPLAS
SO2403-0004 - SGX
SO2403-0008 - SAN",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,10,KG,100,SO2403-0003 - KCP,,3/12/2024
EP2403-0093,3/27/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2403-0061 - KCP + SLCL SO Tổng
SO2403-0061 - KCP + SLCL SO Tổng
MF4X - Tồn kho
SO2403-0058 - HARVEST PADI III",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,20,10,KG,200,SO2403-0061 - KCP + SLCL SO Tổng,,4/1/2024
EP2402-0038,2/26/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm
Ống nhựa PVC D12mm, dày 2mm, màu trắng trong; TL: 100g/m [Ống nhựa cứng]",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,10,10,KG,100,KCP + Tồn kho,,2/29/2024
EP2401-0097,1/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm
Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 2",0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,10,KG,50,SO2401-0038 - KCP,,2/19/2024
EP2312-0038,12/13/2023,Nguyễn Dũng Trung,Theo bộ phận,Dây đai ép kiện,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,5,10,KG,50,SO2312-0011 - KCP,,12/16/2023
EP2312-0039,12/13/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2312-0011 - KCP,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,8,10,KG,80,SO2312-0011 - KCP,,12/16/2023
EP2306-0041,6/14/2023,Nguyễn Dũng Trung,Theo bộ phận,SO2306-0001 - KCP,0500100040000000,Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm,CUON,4,0.01,KG,0.04,SO2306-0001,,6/15/2023
EP2306-0049,6/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,3,10,KG,30,SO2305-0011,,6/19/2023
EP2306-0049,6/14/2023,Nguyễn Dũng Trung,Theo bộ phận,"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,1,10,KG,10,SO2305-0026,,6/19/2023
EP2306-0050,6/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"Bổ sung theo đề xuất 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,12,10,KG,120,SO2305-0011,,6/19/2023
EP2306-0050,6/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"Bổ sung theo đề xuất 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,10,KG,100,SO2305-0011,,7/10/2023
EP2306-0050,6/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"Bổ sung theo đề xuất 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,10,KG,100,SO2305-0011,,7/24/2023
EP2306-0050,6/15/2023,Nguyễn Dũng Trung,Theo bộ phận,"Bổ sung theo đề xuất 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,10,KG,100,SO2305-0011,,8/7/2023
EP2405-0001,5/2/2024,Nguyễn Dũng Trung,Theo bộ phận,"Băng Keo Dán Bạt
Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,5,10,KG,50,TỒN KHO,,5/4/2024
EP2405-0046,5/15/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,10,KG,100,SO2402-0036,,5/18/2024
EP2405-0097,5/28/2024,Nguyễn Dũng Trung,Theo bộ phận,"DÂY CỘT BAO
Hạt Taical kéo sợi
Hạt phụ gia MV8C (Châu Âu)
V....v.....",0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,40,10,KG,400,SO2405-0027,,6/7/2024
EP2406-0096,6/29/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2406-0015 + PO TỔNG DW,0500100060000000,"Dây đai nẹp xấp nhỏ, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,10,KG,100,SO2406-0015,,7/5/2024
EP2407-0083,7/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10",0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,3,20,KG,60,TỒN KHO,,8/1/2024
EP2404-0030,4/10/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện PET, màu xanh lá
Hạt phụ gia MV8C (Châu Âu)
Dây đai ép kiện, màu vàng,",0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,5,20,KG,100,UNIPACK - JUMBO,,4/15/2024
EP2402-0013,2/20/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may 900D
Hạt UV",0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,2,20,KG,40,UNIPACK - SO2402-0009,,3/1/2024
EP2311-0003,11/2/2023,Nguyễn Dũng Trung,Theo bộ phận,Dây đai ép kiện + Đá mài,0500100080000000,"Dây đai ép kiện PET, màu xanh lá, K15.5mm, dày 0.6mm, bề mặt dập nổi, tension >350kgF, 20kg/cuộn.",CUON,3,20,KG,60,TỒN KHO,,11/6/2023
EP2405-0083,5/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105363000000,HK6 (L),CM2,10000,1,CM2,10000,,,5/28/2024
EP2308-0010,8/2/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.7 BỔ SUNG (KHẮC NGHỊCH 5MM ),5200108390000000,Dongwon 77-B,CM2,10000,1,CM2,10000,,,8/7/2023
EP2308-0032,8/9/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.8  (KHẮC NGHỊCH 5MM ),5200108420000000,Dongwon 83-A,CM2,10000,1,CM2,10000,,Máy in,8/14/2023
EP2308-0031,8/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON-PO.8  (KHẮC THUẬN 4MM ).,5200108430000000,Dongwon 88-A,CM2,10000,1,CM2,10000,,Máy in,8/12/2023
EP2304-0055,4/17/2023,,Theo bộ phận,FILE KHẮC SABAH (KHẮC NGHỊCH 5MM )-SO2303-0030,5200108726000000,GARDENIA BRUNEL,CM2,10,1,CM2,10,,,4/19/2023
EP2304-0074,4/20/2023,,Theo bộ phận,KHẮC LAHAD (KHẮC NGHỊCH 5MM )-SO2302-0017,5200108734000000,RAMA ROTI CANAL,CM2,10,1,CM2,10,,,4/23/2023
EP2405-0092,5/28/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,5/30/2024
EP2309-0030,9/7/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC UNIPACK (KHẮC NGHỊCH 4mm )-SO2309-0003,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,MAY IN,9/11/2023
EP2305-0044,5/12/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC HK-GRADE-UNIPACK (KHẮC NGHỊCH 4MM )-CAO SU- SO2304-0026,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,
EP2311-0006,11/3/2023,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in ĐH San Cristobal,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,11/6/2023
EP2401-0017,1/5/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,1/6/2024
EP2403-0027,3/11/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,1,CM2,10000,,,3/12/2024
EP2402-0054,2/29/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108834000000,Bản in GẠO HƯƠNG SEN ( TƯ TRÚC),CM2,10000,1,CM2,10000,,,3/1/2024
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108837000000,Gạo lài sữa-tư trúc,CM2,10000,1,CM2,10000,,,2/21/2024
EP2308-0069,8/18/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT  KHẮCTƯ TRÚC (KHẮC NGHỊCH 5MM ):SO2307-0049,5200108837000000,Gạo lài sữa-tư trúc,CM2,10000,1,CM2,10000,,MÁY IN,8/22/2023
EP2308-0044,8/15/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BAN IN SÀI GÒN XANH.,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,CẦN GẤP BẢN IN BỊ HƯ,MÁY IN,8/16/2023
EP2304-0004,4/3/2023,,Theo bộ phận,KHẮC SÀI GÒN XANH (KHẮC THUẬN 4MM )-MP2303-0076.,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10,1,CM2,10,,,4/6/2023
EP2310-0041,10/11/2023,Bùi Thái Hòa,Theo bộ phận,Đặt bản in cao su (mẫu mới) Sài Gòn Xanh,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,,In,10/13/2023
EP2305-0026,5/10/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC SAI GON XANH (KHẮC THUẬN 4MM )-SO2304-0016,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,,,5/13/2005
EP2306-0027,6/7/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC SAI GON XANH (KHẮC THUẬN 4MM )- CAO SU-,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,,,6/10/2023
EP2404-0015,4/4/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,,,4/6/2024
EP2405-0070,5/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt Khắc bản in sao su,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,,,5/24/2024
EP2312-0011,12/4/2023,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,1,CM2,10000,,,12/5/2023
EP2312-0053,12/15/2023,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,,12/19/2023
EP2405-0070,5/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt Khắc bản in sao su,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,,5/24/2024
EP2403-0092,3/27/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,,3/28/2024
EP2306-0027,6/7/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC SAI GON XANH (KHẮC THUẬN 4MM )- CAO SU-,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,,6/10/2023
EP2305-0026,5/10/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC SAI GON XANH (KHẮC THUẬN 4MM )-SO2304-0016,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,,5/13/2005
EP2310-0041,10/11/2023,Bùi Thái Hòa,Theo bộ phận,Đặt bản in cao su (mẫu mới) Sài Gòn Xanh,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,In,10/13/2023
EP2308-0044,8/15/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BAN IN SÀI GÒN XANH.,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,MÁY IN,8/19/2023
EP2308-0032,8/9/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.8  (KHẮC NGHỊCH 5MM ),520010890000000,DONGWON 93-A,CM2,10000,1,CM2,10000,,Máy in,8/14/2023
EP2308-0031,8/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON-PO.8  (KHẮC THUẬN 4MM ).,520010891000000,Dongwon 94-A,CM2,10000,1,CM2,10000,,Máy in,8/12/2023
EP2308-0031,8/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON-PO.8  (KHẮC THUẬN 4MM ).,520010892000000,dongwon 95-A,CM2,10000,1,CM2,10000,,Máy in,8/12/2023
EP2308-0032,8/9/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.8  (KHẮC NGHỊCH 5MM ),520010893000000,Dongwon 96-A,CM2,10000,1,CM2,10000,,Máy in,8/14/2023
EP2308-0032,8/9/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.8  (KHẮC NGHỊCH 5MM ),520010898000000,Dongwon 97-A,CM2,10000,1,CM2,10000,,Máy in,8/14/2023
EP2308-0031,8/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON-PO.8  (KHẮC THUẬN 4MM ).,520010899000000,Dongwon 98-A,CM2,10000,1,CM2,10000,,Máy in,8/12/2023
EP2308-0032,8/9/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.8  (KHẮC NGHỊCH 5MM ),520010900000000,Dongwon 99-A1,CM2,10000,1,CM2,10000,,Máy in,8/14/2023
EP2308-0032,8/9/2023,Nguyễn Văn Long,Theo bộ phận,KHẮC DONGWON-PO.8  (KHẮC NGHỊCH 5MM ),520010901000000,Dongwon 100-A,CM2,10000,1,CM2,10000,,Máy in,8/14/2023
EP2308-0031,8/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON-PO.8  (KHẮC THUẬN 4MM ).,520010902000000,Dongwon 101-A,CM2,10000,1,CM2,10000,,Máy in,8/12/2023
EP2308-0031,8/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON-PO.8  (KHẮC THUẬN 4MM ).,520010903000000,Dongwon 102-A,CM2,10000,1,CM2,10000,,Máy in,8/12/2023
EP2308-0073,8/22/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC THUẬN 4MM - ĐƠN HÀNG DONGWON PRESTASI (SO2306-0006)-PO9,520010903100000,dongwon 103-A,CM2,10000,1,CM2,10000,Hàng gấp,Máy in,8/24/2023
EP2308-0055,8/16/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC 66 PASIR + PO9  (KHẮC THUẬN 4MM )-SO2308-0023,520010903300000,Dongwon 105-A,CM2,10000,1,CM2,10000,,Máy in,8/19/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010903400000,Dongwon 106-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0032,9/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BẢN IN DONGWON -PO10 - KHẮC NGHỊCH 5MM,520010903500000,Dongwon 107-A,CM2,10000,1,CM2,10000,,,9/13/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010903800000,Dongwon 108-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010904000000,Dongwon 110-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010904100000,Dongwon 111-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0032,9/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BẢN IN DONGWON -PO10 - KHẮC NGHỊCH 5MM,520010904200000,Dongwon 112-A,CM2,10000,1,CM2,10000,,,9/13/2023
EP2309-0032,9/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BẢN IN DONGWON -PO10 - KHẮC NGHỊCH 5MM,520010904300000,Dongwon 113-A,CM2,10000,1,CM2,10000,,,9/13/2023
EP2309-0032,9/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BẢN IN DONGWON -PO10 - KHẮC NGHỊCH 5MM,520010904400000,Dongwon 114-A,CM2,10000,1,CM2,10000,,,9/13/2023
EP2309-0032,9/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BẢN IN DONGWON -PO10 - KHẮC NGHỊCH 5MM,520010904400000,Dongwon 114-A,CM2,10000,1,CM2,10000,,,9/13/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010904500000,Dongwon 115-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010904600000,Dongwon 116-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010904700000,Dongwon 117-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0052,9/13/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO10-KHẮC NGHỊCH 5MM,520010904800000,Dongwon 118-A,CM2,10000,1,CM2,10000,,MÁY IN,9/16/2023
EP2309-0032,9/9/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC BẢN IN DONGWON -PO10 - KHẮC NGHỊCH 5MM,520010904900000,Dongwon 119-A,CM2,10000,1,CM2,10000,,,9/13/2023
EP2309-0081,9/20/2023,Nguyễn Văn Long,Theo bộ phận,ĐẶT KHẮC DONGWON PO11-KHẮC NGHỊCH 5MM SO2309-0012,5200109060000000,Dongwon 122-A,CM2,10000,1,CM2,10000,,MAY IN,9/23/2023
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,5200110840000000,Kìm bấm cos mạng RJ11/12 và RJ45,CAI,40,1,CAI,40,,Sửa chữa,3/25/2024
EP2407-0011,7/4/2024,Đặng Thị Mỹ Hạnh,Theo bộ phận,Đề xuất mua đất +tro trồng rau,5300101541000000,Tro trấu,BAO,10,1,BAO,10,,,7/10/2024
